Brand,Polish Name,Pinterest,Description,Type,Swatch Wheel,Swatch Color,Swatch Num,Coats,Tried,Gift,Notes
Leesha's Lacquer,Aniwye,,Orange Glitter Mix,Glitter,Glitter 157,Glitter,157,1,,,
Leesha's Lacquer,Biboon,,Green and Blue Glitter,Glitter,Glitter 155,Glitter,155,1,,,
Leesha's Lacquer,Borough Me This,,Green Jelly with Glitters,Jelly,Green 74,Green,74,3,,,
Leesha's Lacquer,Memegwesi,,"Purple, Orange and Blue Glitter",Glitter,Glitter 156,Glitter,156,1,,,
Leesha's Lacquer,Michi Peshu,,Rainbow Glitter,Glitter,Glitter 154,Glitter,154,1,,,
Leesha's Lacquer,Revolution,,Dark Purple Jelly with Glitter,Jelly,Purple 327,Purple,327,3,,,
Lemming Lacquer,Drink Me,,Purple Jelly with Dot Glitters,Jelly,Purple 16,Purple,16,3,,,
Lemming Lacquer,Evil isn't Born,,Red Holo,Holo,Red 14,Red,14,1,,,
Lemming Lacquer,I'll Give You Darkness,,Dark Purple Holo,Holo,Purple 17,Purple,17,1,,,
Lemming Lacquer,16-Jul,,Blurple Holo Glitterbomb,Holo,Purple 232,Purple,232,2,,,
Lemming Lacquer,Just Like the Gypsy Woman Said,,Purple Crelly with Microglitter,Shimmer,Purple 162,Purple,162,2,,,
Lemming Lacquer,Miss the Misery,,Blackened Plum Holo,Holo,Purple 235,Purple,235,2,,,
Lemming Lacquer,The Magician's Fire,,Dark Blue Crelly with Flakies,Flakie,Blue 200,Blue,200,2,,,
Lemming Lacquer,Wicked Always Wins,,Forest Green Holo,Holo,Green 13,Green,13,1,,,
Lilypad Lacquer,Deep Blue Lagoon,,Blue Holo,Holo,Blue 106,Blue,106,2,,,
Lilypad Lacquer,Indigo Love,,Indigo Blue Holo,Holo,Blue 247,Blue,247,2,,,
Lilypad Lacquer,Merlot For Me,,Purple with Gold Glitters,Jelly,Purple 70,Purple,70,2,,,
Lilypad Lacquer,Nightsky Rift,,Purple Holo,Holo,Purple 216,Purple,216,2,,,
Lilypad Lacquer,Sherbet,,Baby Blue Holo,Holo,Blue 127,Blue,127,2,,,
Lilypad Lacquer,Violet Blaze,,Violet Holo with Red Sparks,Holo,Purple 211,Purple,211,2,,,
Liquid Sky Lacquer,Candy Corn,,"Orange, Yeallow and White Glitter",Glitter,Glitter 176,Glitter,176,1,,,
Liquid Sky Lacquer,Cuddling by the Campfire,,"Blue, Red and Orange Glitter",Glitter,Glitter 175,Glitter,175,1,,,
Liquid Sky Lacquer,"Genie, You're Free",,Blue and Red and Holo Glitter,Glitter,Glitter 68,Glitter,68,1,,,
Liquid Sky Lacquer,"I <3 You With Every Cell, Every Atom",,Green and Red and Black Glitter,Glitter,Glitter 63,Glitter,63,1,,,
Liquid Sky Lacquer,I'm Yours,,Purple to Orange Multichrome Flakie,Flakie,Glitter 173,Glitter,173,1,,,
Liquid Sky Lacquer,Key to My Heart,,"Red, Pink and Holo Glitter",Glitter,Glitter 174,Glitter,174,1,,,
Liquid Sky Lacquer,"O Captain, My Captain",,Red and White and Black Glitter,Glitter,Glitter 65,Glitter,65,1,,,
Liquid Sky Lacquer,Turning Leaves,,"Purple, Red, and Orange Glitter",Glitter,Glitter 177,Glitter,177,1,,,
Lollipop Posse Lacquer,"Born Fresh, To Suffer",,Dark Purple Holo,Holo,Purple 187,Purple,187,2,,,
Lollipop Posse Lacquer,Epitaph,,Purple Grey Shimmer,Shimmer,Purple 247,Purple,247,2,,,
Lollipop Posse Lacquer,I Want My Scars to Show,,Red Holo,Holo,Red 75,Red,75,2,,,
Lollipop Posse Lacquer,Ind(i)ecent 2017,,Purple Holo,Holo,Purple 366,Purple,366,2,,,
Lollipop Posse Lacquer,"Life, For All It's Anguish",,Bright Purple Holo,Holo,Purple 367,Purple,367,2,,,
Lollipop Posse Lacquer,Light Cycle,,Blue Holo with Microglitter,Holo,Blue 123,Blue,123,2,,,
Lollipop Posse Lacquer,This Kiki is Marvelous,,Iridescent and Holo Glitter,Glitter,Glitter 108,Glitter,108,1,,,
Lollipop Posse Lacquer,Threaten Me With Life,,Purple to Blue Multichrome Holo,Holo,Purple 257,Purple,257,3,,,
Lollipop Posse Lacquer,You Are The Gull (Strong and Wild),,Blurple Holo,Holo,Blue 233,Blue,233,2,,,
Lou it Yourself,Why so Sirius,,Lavender Shimmer,Shimmer,Purple 199,Purple,199,2,,,
Misslyn,Atmosphere,,Blurple Shimmer,Shimmer,Purple 119,Purple,119,2,,Y,
Misslyn,Kiwi Bomb,,Bright Green Holo with Black Microglitter,Holo,Green 19,Green,19,2,,,
Mod Lacquer,High Strangeness,,Light Purple Holo,Holo,Purple 47,Purple,47,2,,,
Mod Lacquer,Majic Eyes Only,,Purple Holo,Holo,Purple 50,Purple,50,2,,,
Mod Lacquer,Streamlined,,Blue Holo,Holo,Blue 203,Blue,203,2,,,
Nail Nation 3000,Gina - So Guess What,,Blue Holo with Gold Flash,Holo,Blue 79,Blue,79,2,Yes,,
ncLA,Lolanthe,,Purple Holo,Holo,Purple 205,Purple,205,2,,,
NeverMind,Bilbliophilia,,Chocolate Brown Holo,Holo,Brown 21,Brown,21,2,,,
NeverMind,Somnophilia,,Purple Holo,Holo,Purple 15,Purple,15,2,,,
Nine Zero,Concord,,Purple Holo  ,Holo,Purple 323,Purple,323,2,,,
Nine Zero,Royal,,Berry Red with Heavy Gold Shimmer,Shimmer,Red 99,Red,99,2,,,
Ninja Polish,Alexandrite,,Green to Purple ColorShifting Glitter,Glittter,Glitter 23,Glitter,23,1,,,
Ninja Polish,Caribbean Reef,,Teal to Blue Glitter,Glitter,Glitter 36,Glitter,36,42737,,,
Ninja Polish,Enter the Dragon,,Gold to Pink Multicolored Microglitter,Glitter,Glitter 37,Glitter,37,42737,,,
Ninja Polish,Eye Candy,,Purple Green and Gold Multichrome Glitter,Glitter,Glitter 32,Glitter,32,42737,,,
Ninja Polish,Flibberti-Gibbet,,Teal Multichrome Holo,Holo,Teal 3,Teal,3,2,,,
Ninja Polish,Glamorous,,Blurple Holo,Holo,Blue 80,Blue,80,2,Yes,,
Ninja Polish,Mystic Glacier,,Blue Jelly with Colorshifting Glitter,Jelly,Blue 32,Blue,32,3,,,Better as a topper?
Ninja Polish,Nebula,,Multichrome Green to Purple Colorshifting Glitter,Glitter,Glitter 30,Glitter,30,42737,,,
Ninja Polish,Passion Shift,,Purple to Pink Multichrome Holo,Holo,Purple 33,Purple,33,2,,,
Ninja Polish,Pretty Brown Nipple,,Coffee Brown Holo,Holo,Brown 7,Brown,7,2,,,
Noodles Nail Polish,Coney Island Queen,,Pink Holo with Flakies,Holo,Pink 95,Pink,95,2,,,
Noodles Nail Polish,Heat Wave,,Pink and Purple Glitter,Glitter,Glitter 158,Glitter,158,1,,,
Noodles Nail Polish,Time Square Can't Shine as Bright as You,,Purple to Blue Holo Shimmer,Holo,Purple 339,Purple,339,2,,,
Nvr Enuff,Unicorn Castle,,Light Purple Holo with Flakies,Holo,Purple 11,Purple,11,2,,,
Nvr Enuff,Unicorn Tears,,Denim Blue Holo,Holo,Blue 15,Blue,15,2,,,
Octopus Party Nail Lacquer,Blue Prototype,,Blue Holo,Holo,Blue 76,Blue,76,2,,,
Octopus Party Nail Lacquer,Blue York,,Blue Holo with a Pink Flash,Holo,Blue 223,Blue,223,3,,,
Octopus Party Nail Lacquer,Butch Gardens,,Blue Teal Holo,Holo,Teal 35,Teal,35,3,,,
Octopus Party Nail Lacquer,Clover Shield,,Green Holo,Holo,Green 21,Green,21,2,,,
Octopus Party Nail Lacquer,Crepuscular,,Purple Holo with Microglitter,Holo,Purple 84,Purple,84,2,,,
Octopus Party Nail Lacquer,Crypsis,,Lavender Holo,Holo,Purple 237,Purple,237,2,,,
Octopus Party Nail Lacquer,Double Duchess,,Purple Holo,Holo,Purple 128,Purple,128,2,,,
Octopus Party Nail Lacquer,Go Deep,,Dark Blue Holo,Holo,Blue 199,Blue,199,2,,,
Octopus Party Nail Lacquer,Ilex Vinum,,Berry Pink Holo,Holo,Pink 49,Pink,49,2,,,
Octopus Party Nail Lacquer,Menthol Nights,,Forest Green Holo,Holo,Green 29,Green,29,2,,,
Octopus Party Nail Lacquer,Metaphysics,,Pinkish Lavender Holo,Holo,Pink 26,Pink,26,3,,,
Octopus Party Nail Lacquer,Monster,,Plum Crelly Holo,Holo,Purple 236,Purple,236,2,,,
Octopus Party Nail Lacquer,No Wane,,Dark Grey Holo,Holo,Grey 9,Grey,9,2,,,
Octopus Party Nail Lacquer,Pink Stole,,Pink Shimmer Glitter,Glitter,Glitter 25,Glitter,25,1,,,
Octopus Party Nail Lacquer,Prism Sentence,,Multichrome Flake with Holo Shimmer,Shimmer,Glitter 164,Glitter,164,1,,,
Octopus Party Nail Lacquer,Steel Wolf,,Grey Holo,Holo,Grey 24,Grey,24,2,,,
Octopus Party Nail Lacquer,Suffocation,,Grey Holo with a Purple Flash,Holo,Grey 54,Grey,54,3,,,
Octopus Party Nail Lacquer,The Pleasure Principal,,Purple to Blue Multichrome,Multichrome,Purple 304,Purple,304,2,,,
Octopus Party Nail Lacquer,The Polar Duress,,Steel Blue Holo,Holo,Blue 89,Blue,89,2,,,
OPI,Black Spotted,,Black Bubbly Effect,Spotted,Black 12,Black,12,1,,,THIN coat. Literally wipe nearly all of it off.
OPI,DS Lapis,,Blue with sparkles,Shimmer,Blue 117,Blue,117,2,Yes,,
OPI,DS Mystery,,Plum with Gold Shimmer,Shimmer,Purple 13,Purple,13,2,,,
OPI,Ink,,Deep Purple and Blue Shimme,Opaque,Purple 78,Purple,78,2,Yes,,Freaking Pretty
OPI,Pure,,18k White Gold and Silver Flakes,Flakie,Glitter 18,Glitter,18,1,,,
OPI,Russian Navy,,Deepest Dark Blue,Satin?,Blue 92,Blue,92,2,,,
OPI,Stir-Fried Eggplant,,Dark Red with Shimmer,Shimmer,Red 34,Red,34,2,,,
OPI,Swimsuit...Nailed It!,,Blue Shimmer,Opaque,Blue 2,Blue,2,2,Yes,,1 coater pretty much
ORLY,Bling,,Gold Microglitter,Glitter,Yellow 3,Yellow,3,3,,,
ORLY,Mirrorball,,Silver Holo with Holo Glitter,Holo,Grey 52,Grey,52,3,,Y,
ORLY,On the Edge,,Dark Purple Neon,Neon,Purple 12,Purple,12,2,,,
ORLY,Royal Navy,,Cobalt Blue with Shimmer,Shimmer,Blue 43,Blue,43,2,,,
ORLY,Smoked Out,https://www.pinterest.com/pin/15058979979502209/,Teal Crelly with Shimmer,Shimmer,Teal 33,Teal,33,2,,,
ORLY,Sparkling Garbage,,Holo Glitter,Glitter,Glitter 56,Glitter,56,1,Yes,,
ORLY,Wild Wisteria,,Deep Purple,Creme,Purple 117,Purple,117,2,,,
Pahlish,A Moment in Amber,,Gold/Bronze Shimmer Holo,Holo,Brown 5,Brown,5,2,Yes,,
Pahlish,All Blown Out,,Purple Glitters,Glitter,Glitter 46,Glitter,46,1,,,Has stars! Pretty!
Pahlish,Expecto Patronum,,Silver/Holo Glitters,Glitter,Glitter 17,Glitter,17,1,,,
Pahlish,Gingerbread Baker,,Mauve Creme,Creme,Purple 29,Purple,29,2,,,
Pahlish,Good Omens,,Shimmery Purple Holo,Holo,Purple 316,Purple,316,2,,,
Pahlish,Gumdrop Rooftops,,Pink to Orange Multichrome Shimmer/Glitter,Shimmer,Glitter 12,Glitter,12,1,,,
Pahlish,Little Bells,,Dark Purple with Microglitter,Shimmer,Purple 179,Purple,179,2,,,
Pahlish,Little Rebel Droid,,Dark Purple Jelly with Copper/Multicolor Shimmer,Shimmer,Purple 26,Purple,26,3,,,
Pahlish,No Sleep Till Brooklyn,,Blurple Holo,Holo,Purple 233,Purple,233,2,,,
Pahlish,Saint Glinda,,Light Purple Holo,Holo,Purple 310,Purple,310,2,,,
Pahlish,Snow over the Rhone,,Blue Jelly with Silver Flakies and Shimmer,Jelly,Blue 194,Blue,194,2,Yes,,
Pahlish,Storms & Saints,,Green Holo,Holo,Green 6,Green,6,2,,,
Pahlish,The Queen of Swords,,Purple Holo,Holo,Purple 71,Purple,71,2,,,
Pahlish,Two Moon Sunset,,Red Jelly with Gold Shimmer,Shimmer,Red 12,Red,12,2,,,
Pahlish,Whisper in the Rain,,Purple with Flakies and Shimmer,Shimmer,Purple 66,Purple,66,2,,,
Pahlish,Whomping Willow,,Navy Blue Creme,Creme,Blue 18,Blue,18,2,,,
Pahlish,Yas Queen,,Lavender Creme with Copper Glitters,Shimmer,Purple 293,Purple,293,2,,,
Painted Polish,Card Tricks & Carousels,,Teal with Copper Glitters,Crelly,Teal 47,Teal,47,2,,,
Painted Polish,Counting Candles,,Pink Holo,Holo,Pink 99,Pink,99,2,,,
Painted Polish,First Frost,,Blue and Silver Glitters,Glitter,Glitter 182,Glitter,182,1,,,
Painted Polish,"From Brooklyn, With Love",,Purple Holo,Holo,Purple 333,Purple,333,3,,,
Painted Polish,Jewel Tones & Tweed,,Jewel Tone and Brown Glitters,Glitter,Glitter 180,Glitter,180,1,,,
Painted Polish,Joie De Vivre,,Rainbow Holo Glitters,Glitter,Glitter 181,Glitter,181,1,,,
Painted Polish,Love & Liberty,,Blue Holo,Holo,Blue 177,Blue,177,2,,,
Painted Polish,Stamped in Taro,,Periwinkle Blue Creme,Creme,Blue 241,Blue,241,1,,,
Painted Polish,Stoned on Sapphire,,Cobalt Blue Glitter,Glitter,Glitter 183,Glitter,183,1,,,
Painted Polish,Tickle My Tinsel 2.0,,Blue and Silver Glitters,Glitter,Glitter 179,Glitter,179,1,,,
Painted Polish,Toasts in Time Square,,Black and Gold and Silver Glitters,Glitter,Glitter 178,Glitter,178,1,,,
Pantone Universe,Parachute Purple,,Purpley with Blue Shimmer,Shimmer,Purple 165,Purple,165,2,,,
Pipe Dream Polish,110 Degrees,,Orange Neon Creme,Neon,Orange 1,Orange,1,2,,,
Pipe Dream Polish,All In,,Blue Neon Creme,Neon,Blue 34,Blue,34,2,,,
Pipe Dream Polish,Happy Hour,,Teal Neon Creme,Neon,Teal 4,Teal,4,2,,,
Pipe Dream Polish,High Roller,,Green Neon Creme,Neon,Green 22,Green,22,2,,,
Pipe Dream Polish,Light of Day,,Yellow Neon Creme,Neon,Yellow 4,Yellow,4,3,,,Prolly didn't really need 3rd coat
Pipe Dream Polish,On The List,,Pink Neone Creme,Neon,Pink 12,Pink,12,2,,,
Pipe Dream Polish,PDPeeps,,Teal Holo,Holo,Teal 6,Teal,6,2,,,
Pipe Dream Polish,V.I.P. Pass,,Purple Neon Creme,Neon,Purple 34,Purple,34,2,,,
Polish 'M,The 4th Year,,Purple Holo with Microglitter,Holo,Purple 228,Purple,228,2,,,
Polish 'M,The House Always Wins,,Black Scattered Holo,Holo,Black 18,Black,18,2,,,
Polish My Life,Brooklyn Bridge Sunsets,,Purple Holo with Microglitter,Holo,Purple 328,Purple,328,2,,,
Polish My Life,Magic & Mystery On Broadway,,Periwinkle Shimmer,Shimmer,Purple 337,Purple,337,2,,,
Polish My Life,NYC Freestyle Friday,,Fuchsia Creme,Creme,Pink 98,Pink,98,2,,,
Polished for Days,Crystallism,,Tan Microglitter with a Pink Flash,Shimmer,Brown 9,Brown,9,3,,,
Polished for Days,Milky Way,,Purple with Pink Shimmer,Shimmer,Purple 369,Purple,369,2,,,
Rainbow Honey,The Worst Possible Thing,,Blue Purple Glitters,Glitter,Glitter 21,Glitter,21,1,,,
Sally Hansen,Go For Gold,,Gold Metallic,Metallic,Yellow 15,Yellow,15,2,,Deb,Good for Stamping
Sally Hansen,Grape Shifter,,Purple and Blue Glitter,Glitter,Glitter 172,Glitter,172,1,,,
Sayuri,Neither Here Nor There,,White with Shimmer,Shimmer,White 11,White,11,2,,,
Sayuri,Pick Your Poison,,Blackened Purple to Green Multichrome Shimmer,Shimmer,Purple 155,Purple,155,3,,,
Sayuri,Third Space of Heaven,,Lavender with Copper Shimmer Thermal,Thermal,Purple 150,Purple,150,3,,,
Sephora Formula X,Prophecy,,Royal Blue Matte,Matte,Blue 183,Blue,183,2,,YES,
Sparitual,Oasis,,Dark Blue with Shimmer,Matte,Blue 228,Blue,228,2,,,Dries Matte
Sparitual,Wilderness,,Peachy Coral Texture with Gold Shimmer,Texture,Pink 42,Pink,42,2,,,
Starrily,Gumballs,,Neon Circle Glitter,Glitter,Glitter 55,Glitter,55,1,,,
Super Moon Lacquer,Galactic Halo,,Shifty Purple Holo,Holo,Purple 81,Purple,81,2,,,
Super Moon Lacquer,Pistol Star,,Blurple Holo,Holo,Blue 108,Blue,108,2,,,
Super Moon Lacquer,Star Cloud,,Blue with Green Shimmer,Shimmer,Blue 113,Blue,113,2,,,
Super Moon Lacquer,Texas Treasures,,Dark Blue Holo with Glitters,Holo,Blue 196,Blue,196,2,,,
Superchic Lacquer,40 Winks,,Purple Holo,Holo,Purple 8,Purple,8,1,,,
Superchic Lacquer,Lucid La La Land,,Blue Holo,Holo,Blue 9,Blue,9,2,,,
Superchic Lacquer,No Rest For The Wicked,,Green Holo,Holo,Green 2,Green,2,1,,,
Superchic Lacquer,R.E.M,,Black Holo,Holo,Black 1,Black,1,1,,,
Superchic Lacquer,Realm of Erotica,,Red Holo,Holo,Red 7,Red,7,2,,,
Superchic Lacquer,Wake Me Up,,Berry Holo,Holo,Red 18,Red,18,1,,,
Supernatural Lacquer,2 Minutes to Midnight,,Purple Jelly with Glitter,Shimmer,Purple 107,Purple,107,2,,,
Supernatural Lacquer,Amulet,,Deep Blue Shimmer,Shimmer,Blue 143,Blue,143,2,,,
Supernatural Lacquer,Cosmic Peacock,,Blue To Purple Multichrome Shimmer,Multichrome,Purple 356,Purple,356,2,,,
Supernatural Lacquer,Descent from Heaven,,Blue Thermal with Silver Flakies,Thermal,Blue 96,Blue,96,2,,,
Supernatural Lacquer,Faerie Dust,,"Holo Shards, Stars and Dots",Glitter,Glitter 102,Glitter,102,1,,,
Supernatural Lacquer,Ghost of Christmas Present,,Light Brown Holo with Pink Shimmer,Holo,Brown 25,Brown,25,3,,,
Supernatural Lacquer,God of the Dead,,Bright Blue Holo,Holo,Blue 103,Blue,103,2,,,
Supernatural Lacquer,Heliosphere,,Silver/Nudey Holo with Flakies,Holo,Grey 40,Grey,40,2,,,
Supernatural Lacquer,IV.XX 29th Birthday Polish,,Dark Purple Holo Flakie,Holo,Purple 148,Purple,148,3,,,
Supernatural Lacquer,Level 30 Achieved,,Purple Shifter with Shimmer and Green Flash,Shimmer,Purple 358,Purple,358,2,,,
Supernatural Lacquer,Lurid,,Bright Purple Holo,Holo,Purple 357,Purple,357,2,,,
Supernatural Lacquer,Mystery Prototype 1,,Purple Glitter Texture,Texture,Purple 122,Purple,122,2,,,
Supernatural Lacquer,Mystic Maiden,,Blackened Blue with Microglitter,Shimmer,Blue 101,Blue,101,2,,,
Supernatural Lacquer,NCC-74656,,Black Holo,Holo,Black 22,Black,22,2,,,
Supernatural Lacquer,Ride the Pig,,Neon Pink Shimmer,Shimmer,Pink 7,Pink,7,2,,,
Supernatural Lacquer,S.I.R.,,Silver Holo with Blue Microglitter,Holo,Grey 38,Grey,38,2,,,
Supernatural Lacquer,Small Batch Prototype #3,,Purple Shifty Shimmer ,Shimmer,Purple 83,Purple,83,2,,,
Supernatural Lacquer,Space Cat,,Purple Fuschia Crelly,Crelly,Purple 144,Purple,144,2,,,
Supernatural Lacquer,The Kraken,,Teal with Microflakes,Microflake,Teal 32,Teal,32,2,,,
Sweet Heart Polish,Addicted to Purple,,Dark Purple Holo Shimmer,Shimmer,Purple 152,Purple,152,3,,,
Takko Lacquer,Dark Paradise,,Royal Blue Jelly with Rainbow Flakies,Flakie,Blue 179,Blue,179,3,,,
Takko Lacquer,Kiss the Sky,,Royal Purple with Pink Shimmer,Shimmer,Purple 51,Purple,51,2,,,
Tonic,4 Ever,,Light Purple Shifty Holo,Holo,Purple 69,Purple,69,2,,,
Tonic,Alchemy,,Dark Red Holo,Holo,Red 82,Red,82,2,,,
Tonic,Alexandra's Genesis,,Fuchsia with purple Flash,Shimmer,Purple 215,Purple,215,2,,,
Tonic,Angelfish,,Lavender Shimmer with Pink flakes,Shimmer,Purple 239,Purple,239,2,,,
Tonic,Aurora Sunrise,,Berry Purpley Pink Holo Jelly,Holo,Purple 353,Purple,353,2,,,
Tonic,Babe With the Power,,Grey to Purple Shimmer,Shimmer,Purple 341,Purple,341,2,,,
Tonic,Be My Violet-tine,,Violet Red Shimmer,Shimmer,Red 87,Red,87,2,,,
Tonic,Blanche,,Purple to Pink Multichrome Holo,Holo,Purple 279,Purple,279,2,,,
Tonic,Bleeding Heart Sunset,,Pink Shimmer Holo,Holo,Pink 114,Pink,114,2,,,
Tonic,Bloody Hell,,Dark Red with Shimmer,Shimmer,Red 74,Red,74,2,,,
Tonic,Carnality,,Plum Frost Creme,Creme,Purple 32,Purple,32,2,,,
Tonic,Coco on Canal Street,,Red Holo,Holo,Red 110,Red,110,2,,,
Tonic,Come Wander,,Purple Holo with Flakies,Flakie,Purple 354,Purple,354,2,,,
Tonic,Deep Sea-crets,,Teal with Pinky Gold Shimmer,Shimmer,Teal 61,Teal,61,2,,,
Tonic,Dorothy,,Dark Purple to Blue Multichrome Shimmer,Shimmer,Purple 280,Purple,280,3,,,
Tonic,Dragon Scale,,Green Holo,Holo,Green 83,Green,83,2,,,
Tonic,Dragon Tears,,Purple Multichrome Holo,Holochrome,Purple 270,Purple,270,2,,,
Tonic,Dragons at Dusk,,Green to Blue to Purple Multichrome,Multichrome,Purple 209,Purple,209,2,,,
Tonic,Dryad's Grove,,Green Holo with Gold Flash,Holo,Green 12,Green,12,2,,,
Tonic,Enchanted Elixir,,Purple Multichrome with Holo and Shimmer,Holo,Purple 194,Purple,194,2,,,
Tonic,Endless Shrimp,,Salmon Pink with Green Shimmer,Shimmer,Pink 112,Pink,112,2,,,
Tonic,For the Watch,,Bright Purple Holo,Holo,Purple 352,Purple,352,2,,,
Tonic,Foxfire,,Red to Gold Multichrome,Multichrome,Red 115,Red,115,2,,,
Tonic,Frozen Kingdom,,Teal to Purple Lumichrome Holo Flakie,Holochrome,Teal 62,Teal,62,2,Y,,
Tonic,Greenglow,,Green Shifty Iridescent Holo,Holochrome,Green 67,Green,67,3,,,
Tonic,Guardians of the Tower,,Teal to Pink Shifting Shimmer,Shimmer,Teal 23,Teal,23,2,,,
Tonic,High Trestle Bridge,,Deep Purple Holo,Holo,Purple 360,Purple,360,2,,,
Tonic,Huckleberry Sparkle,,Bright Purple with Shimmer,Shimmer,Purple 225,Purple,225,2,,,
Tonic,I Glitterally DGAF,,Purple Crelly with Shimmer and Glitter,Crelly,Purple 264,Purple,264,2,,,
Tonic,I Had The Times Square of My Life,,Silver Super Holo with Flakies,Holo,Grey 69,Grey,69,3,,,
Tonic,I Pink You Blue Me Off,,Blue with Pink Shimmer,Shimmer,Blue 83,Blue,83,2,,,
Tonic,Incandescent,,Light Red Tan Holo,Holo,Red 81,Red,81,2,,,
Tonic,Lava Lust,,Bright Orange Shimmer,Shimmer,Orange 7,Orange,7,2,,,
Tonic,Leaf Pile Leap,,Brown with Flakie and Shimmer,Flakie,Brown 27,Brown,27,2,,,
Tonic,Light of Alexandria,,Pinky Purple Shimmer,Shimmer,Pink 70,Pink,70,2,,,
Tonic,Light of Lyra,,Purple with Blue Shimmer,Shimmer,Purple 222,Purple,222,2,,,
Tonic,Lula,,Purple to Pink Multichrome Shimmer,Shimmer,Purple 238,Purple,238,2,,,
Tonic,Luminescent,,Light Blue Holo Multichrome,Holo,Blue 163,Blue,163,2,,,
Tonic,Lunar Lust,,Grey Shimmer with a Pink Sheen,Shimmer,Grey 50,Grey,50,2,,,
Tonic,Magnetic Midnight,,Purple Multichrome Holo,Holochrome,Purple 271,Purple,271,2,,,
Tonic,Manna's Mystical Masterpiece,,Blurple Holo,Holo,Blue 189,Blue,189,2,,,
Tonic,Mermaid Scales,,Red to Green Multichrome with Holo,Holochrome,Red 83,Red,83,2,,,
Tonic,Ninja Pumpkin,,Dark Brown with Shimmer,Shimmer,Brown 23,Brown,23,2,,,
Tonic,Poison Rose,,Rose Holo,Holo,Pink 76,Pink,76,2,,,
Tonic,Polish Con or Bust! 2016,,Berry with Holo Shimmer,Shimmer,Purple 245,Purple,245,2,,,
Tonic,Project Aloha,,Red Holo with Flakies ,Holo,Red 96,Red,96,2,,,
Tonic,Promise of Spring,,Yellow Green Holo,Holo,Green 80,Green,80,2,,,
Tonic,Proto ,,Grey with Purple Shimmer,Shimmer,Grey 71,Grey,71,2,,Y,
Tonic,Quasi Stellar,,Blurple Holo,Holo,Purple 370,Purple,370,2,,,
Tonic,Rainbowfish,,Teal Holo with Pink Shimmer and Glitter,Holo,Teal 25,Teal,25,2,,,
Tonic,Rose,,Red to Orange Multichrome Holo,Holo,Red 84,Red,84,3,,,
Tonic,Sibylline Dreams,,Copper Tan Holo with Shimmer,Holo,Brown 15,Brown,15,2,,,
Tonic,Silent Storm,,Grey Purple Shimmer,Shimmer,Purple 174,Purple,174,2,,,
Tonic,Slitherin',,Bright Green Holo,Holo,Green 52,Green,52,2,,,
Tonic,Sophia,,Blue to Teal to Purple Multichrome,Holochrome,Blue 171,Blue,171,2,,,
Tonic,Spellbound,,Darker Purple Shifty Shimmer,Shimmer,Purple 244,Purple,244,2,,,
Tonic,Stars at Twilight,,Purpley Blue with Copper Shimmer ,Shimmer,Purple 274,Purple,274,2,,,
Tonic,Suspiria,,Wine Red Holo,Holo,Red 68,Red,68,2,,,
Tonic,Sweet Pea,,Mint Shimmer,Shimmer,Green 23,Green,23,2,,,
Tonic,Taking On Toronto,,Grey Base with Copper Shimmer Holo,Holo,Brown 32,Brown,32,2,,,
Tonic,The Answer is 42,,Bright Purple Shifty Holo with Shimmer,Holo,Purple 289,Purple,289,2,,,
Tonic,The Places You'll Go,,Purple to Emerald Multichrome,Multichrome,Purple 346,Purple,346,3,,,
Tonic,Tides of Perseid,,Blue to Purple Multichrome with Microglitter,Multichrome,Purple 218,Purple,218,2,,,
Tonic,Titanium Orchid,,Lavender Shifty Holo,Holo,Purple 345,Purple,345,2,,,
Tonic,Toxic,,Bright Purple with Shimmer,Shimmer,Purple 248,Purple,248,2,,,
Tonic,Vaudeville Venom,,Purple with Red Shimmer,Shimmer,Purple 368,Purple,368,2,,,
Tonic,Watcher's Woods,,Green to Purple Multichrome Shimmer,Multichrome,Purple 246,Purple,246,2,,,
Tonic,Windy City,,Blurple with Pink Shimmer,Shimmer,Purple 182,Purple,182,2,,,
Tonic,You'll Move Mountains,,Dark Green Shimmer,Shimmer,Green 81,Green,81,2,,,
Too Fancy Lacquer,Violette Etoilee,,Purple Holo,Holo,Purple 89,Purple,89,2,,,
Top Shelf Lacquer,Bad Decisions Make Good Stories,,Red to Gold Multichrome with Shimmer,Multichrome,Red 69,Red,69,2,,,
Top Shelf Lacquer,Hot Toddy,,Burgundy Holo,Holo,Red 70,Red,70,3,,,
Top Shelf Lacquer,Jack Frost Cocktail,,Blue Holo with Microflakes,Holo,Blue 136,Blue,136,3,,,
Turtle Tootsie Polishes,Lilac Bracelets,,Light Purple Holo Glitter,Glitter,Glitter 159,Glitter,159,1,,,
Turtle Tootsie Polishes,Polish Con Exclusive 2017,,Blurple Shifty Holo,Holo,Purple 321,Purple,321,2,,,
Turtle Tootsie Polishes,Shine On,,Blue Holo,Holo,Blue 201,Blue,201,2,,,
Turtle Tootsie Polishes,Sparkle Always,,Dark Purple with Holo Shimmer,Shimmer,Purple 322,Purple,322,2,,,
ULTA,Ultra Violet Femme,,Neon Purple,Opaque,Purple 67,Purple,67,2,Yes,,
Vapid,Ablaze,,Orange Holo  ,Holo,Orange 3,Orange,3,2,,,
Vapid,Batnado,,Bat shaped and Holo Glitters,Glitter,Glitter 105,Glitter,105,1,,,
